"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","ID","talker","gender","order","duration","speech_rate","transcript","Order","clip1_id","clip2_id","selected_clip","clip1_speaker","clip2_speaker","clip1_gender","clip2_gender","clip1_transcript","clip2_transcript","accuracy","question_order"
"","","","","","audio-keyboard-response","272","796288","0.0-272.0","","","","","","","","","","","","null","../audio/F5_04.WAV","l","F5_04","F5","female","2","0.83549","3.592","Oh my god.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","273","798289","0.0-273.0","","","","","","","","","","","","1207","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","5","M4_01","F5_04","","M4","F5","male","female","The main source is from class.","Oh my god.","",""
"","","","","","audio-keyboard-response","274","801799","0.0-274.0","","","","","","","","","","","","null","../audio/F5_02.WAV","null","F5_02","F5","female","1","2.006958","2.491","We sort of like stay together.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","275","803509","0.0-275.0","","","","","","","","","","","","null","../audio/M3_02.WAV","s","M3_02","M3","male","2","1.70975","2.924","And then on Sunday morning","","","","","","","","","","","",""
"","","","","","html-keyboard-response","276","805511","0.0-276.0","","","","","","","","","","","","416","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","6","F5_02","M3_02","","F5","M3","female","male","We sort of like stay together.","And then on Sunday morning","",""
"","","","","","audio-keyboard-response","277","809194","0.0-277.0","","","","","","","","","","","","null","../audio/M2_04.WAV","null","M2_04","M2","male","1","2.180729","2.751","People just focus on making money.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","278","812098","0.0-278.0","","","","","","","","","","","","null","../audio/F2_02.WAV","l","F2_02","F2","female","2","2.902938","4.134","They buy a whole pig and then they eat their way through it.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","279","814101","0.0-279.0","","","","","","","","","","","","126","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","7","M2_04","F2_02","","M2","F2","male","female","People just focus on making money.","They buy a whole pig and then they eat their way through it.","",""
"","","","","","audio-keyboard-response","280","817637","0.0-280.0","","","","","","","","","","","","null","../audio/F1_03.WAV","null","F1_03","F1","female","1","2.034542","3.440","No, actually I was the only one.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","281","819122","0.0-281.0","","","","","","","","","","","","null","../audio/M3_03.WAV","l","M3_03","M3","male","2","1.483458","3.371","Not too far away from here.","","","","","","","","","","","",""
