"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","ID","talker","gender","order","duration","speech_rate","transcript","Order","clip1_id","clip2_id","selected_clip","clip1_speaker","clip2_speaker","clip1_gender","clip2_gender","clip1_transcript","clip2_transcript","accuracy","question_order"
"","","","","","audio-keyboard-response","317","1167632","0.0-317.0","","","","","","","","","","","","null","../audio/M1_03.WAV","l","M1_03","M1","male","2","1.220375","5.087881591","Being in medical field.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","318","1169652","0.0-318.0","","","","","","","","","","","","586","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","20","M4_03","M1_03","","M4","M1","male","male","They didn't really respond.","Being in medical field.","",""
"","","","","","audio-keyboard-response","319","1174077","0.0-319.0","","","","","","","","","","","","null","../audio/F2_02.WAV","null","F2_02","F2","female","1","2.902938","4.134","They buy a whole pig and then they eat their way through it.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","320","1176552","0.0-320.0","","","","","","","","","","","","null","../audio/F1_02.WAV","l","F1_02","F1","female","2","2.456333","2.442","I end up going to high school.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","321","1178562","0.0-321.0","","","","","","","","","","","","1395","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","1","F2_02","F1_02","","F2","F1","female","female","They buy a whole pig and then they eat their way through it.","I end up going to high school.","",""
"","","","","","audio-keyboard-response","322","1182656","0.0-322.0","","","","","","","","","","","","null","../audio/M3_04.WAV","null","M3_04","M3","male","1","2.564635","3.508","They have to learn about what they're talking about.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","323","1187102","0.0-323.0","","","","","","","","","","","","null","../audio/F3_02.WAV","l","F3_02","F3","female","2","4.438833","2.253","So it wasn't residential on both sides of the street...","","","","","","","","","","","",""
"","","","","","html-keyboard-response","324","1189117","0.0-324.0","","","","","","","","","","","","1098","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","2","M3_04","F3_02","","M3","F3","male","female","They have to learn about what they're talking about.","So it wasn't residential on both sides of the street...","",""
"","","","","","audio-keyboard-response","325","1192147","0.0-325.0","","","","","","","","","","","","null","../audio/M1_02.WAV","null","M1_02","M1","male","1","1.508312","4.539559014","It's a really nice place to live.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","326","1194882","0.0-326.0","","","","","","","","","","","","null","../audio/F1_01.WAV","l","F1_01","F1","female","2","2.72926","1.832","Because of the limited space.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","327","1196892","0.0-327.0","","","","","","","","","","","","1447","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","3","M1_02","F1_01","","M1","F1","male","female","It's a really nice place to live.","Because of the limited space.","",""
"","","","","","audio-keyboard-response","328","1200112","0.0-328.0","","","","","","","","","","","","null","../audio/M3_02.WAV","null","M3_02","M3","male","1","1.70975","2.924","And then on Sunday morning","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","329","1203292","0.0-329.0","","","","","","","","","","","","null","../audio/F5_03.WAV","s","F5_03","F5","female","2","3.162094","2.530","It was a totally new experience to me.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","330","1205312","0.0-330.0","","","","","","","","","","","","1747","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","4","M3_02","F5_03","","M3","F5","male","female","And then on Sunday morning","It was a totally new experience to me.","",""
"","","","","","audio-keyboard-response","331","1208578","0.0-331.0","","","","","","","","","","","","null","../audio/F3_03.WAV","null","F3_03","F3","female","1","1.738271","2.877","At least one family had moved.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","332","1210592","0.0-332.0","","","","","","","","","","","","null","../audio/F5_02.WAV","null","F5_02","F5","female","2","2.006958","2.491","We sort of like stay together.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","333","1212613","0.0-333.0","","","","","","","","","","","","null","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","null","","","","","","","","5","F3_03","F5_02","","F3","F5","female","female","At least one family had moved.","We sort of like stay together.","",""
"","","","","","audio-keyboard-response","334","1216272","0.0-334.0","","","","","","","","","","","","null","../audio/M4_03.WAV","null","M4_03","M4","male","1","2.137188","1.872","They didn't really respond.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","335","1220992","0.0-335.0","","","","","","","","","","","","null","../audio/F2_04.WAV","s","F2_04","F2","female","2","4.716052","2.332","And then upstairs in her apartment, she would make rice wine.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","336","1223012","0.0-336.0","","","","","","","","","","","","505","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","6","M4_03","F2_04","","M4","F2","male","female","They didn't really respond.","And then upstairs in her apartment, she would make rice wine.","",""
"","","","","","audio-keyboard-response","337","1227442","0.0-337.0","","","","","","","","","","","","null","../audio/F4_02.WAV","null","F4_02","F4","female","1","2.916635","2.058","Yeah, a little bit, like elementary school.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","338","1229992","0.0-338.0","","","","","","","","","","","","null","../audio/M4_04.WAV","s","M4_04","M4","male","2","2.538281","2.364","The most intimate group of friends.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","339","1232007","0.0-339.0","","","","","","","","","","","","705","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","s","","","","","","","","7","F4_02","M4_04","","F4","M4","female","male","Yeah, a little bit, like elementary school.","The most intimate group of friends.","",""
"","","","","","audio-keyboard-response","340","1235048","0.0-340.0","","","","","","","","","","","","null","../audio/F4_04.WAV","null","F4_04","F4","female","1","1.514","3.303","It was hard for my mom.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","341","1235982","0.0-341.0","","","","","","","","","","","","null","../audio/M2_03.WAV","l","M2_03","M2","male","2","0.928833","5.382","I just wanted to get up.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","342","1238002","0.0-342.0","","","","","","","","","","","","1317","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","8","F4_04","M2_03","","F4","M2","female","male","It was hard for my mom.","I just wanted to get up.","",""
"","","","","","audio-keyboard-response","343","1242193","0.0-343.0","","","","","","","","","","","","null","../audio/M5_04.WAV","null","M5_04","M5","male","1","2.679688","2.612","We have a very enjoyable life, nothing.","","","","","","","","","","","",""
"","","","","","audio-keyboard-response","344","1243983","0.0-344.0","","","","","","","","","","","","null","../audio/M4_02.WAV","l","M4_02","M4","male","2","1.785187","3.361","I'm still struggling to be honest.","","","","","","","","","","","",""
"","","","","","html-keyboard-response","345","1245988","0.0-345.0","","","","","","","","","","","","476","
        <center>
            <div id=""clip1"" class=""visual"">Clip 1<p>Press ""S""</p></div>
            <div id=""clip2"" class=""visual"">Clip 2<p>Press ""L""</p></div>
        </center>
        <p style=""text-align:center"">Which clip sounds more like someone who was born in Boston?</p>","l","","","","","","","","9","M5_04","M4_02","","M5","M4","male","male","We have a very enjoyable life, nothing.","I'm still struggling to be honest.","",""
"","","","","","audio-keyboard-response","346","1249692","0.0-346.0","","","","","","","","","","","","null","../audio/M2_04.WAV","null","M2_04","M2","male","1","2.180729","2.751","People just focus on making money.","","","","","","","","","","","",""
